"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"Actinobacteria",58.7706766917293,266,2.98107950448465,58,5,"null",-1
"Alphaproteobacteria",56.7857142857143,266,3.59075632663992,57,5,"null",-1
"Bacilli",59.2593984962406,266,3.29041002420579,59.5,5,"null",-1
"Betaproteobacteria",62.7443609022556,266,2.99472274292528,63,5,"null",-1
"Clostridia",62.5037593984962,266,2.95532537595127,63,5,"null",-1
"Gammaproteobacteria",60.1578947368421,266,3.22804247070131,60,5,"null",-1
"Actinobacteria",58.5338345864662,266,3.29905388880121,59,6,"null",-1
"Alphaproteobacteria",56.5864661654135,266,3.43154691900628,57,6,"null",-1
"Bacilli",59.1616541353383,266,3.30125697740567,59.5,6,"null",-1
"Betaproteobacteria",62.1917293233083,266,2.84122070796398,62,6,"null",-1
"Clostridia",62.3157894736842,266,2.89923456665592,62,6,"null",-1
"Gammaproteobacteria",60.3796992481203,266,3.03976809935992,60,6,"null",-1
"Actinobacteria",58.9398496240602,266,3.2627327323828,59,7,"null",-1
"Alphaproteobacteria",56.8533834586466,266,3.53381612899379,57,7,"null",-1
"Bacilli",59.1390977443609,266,3.40579604938884,59,7,"null",-1
"Betaproteobacteria",62.609022556391,266,2.70940942243088,63,7,"null",-1
"Clostridia",62.6240601503759,266,2.83003167862635,63,7,"null",-1
"Gammaproteobacteria",60.2218045112782,266,3.2931681905805,60,7,"null",-1
"Actinobacteria",58.9285714285714,266,3.20944529218959,59,8,"null",-1
"Alphaproteobacteria",56.5601503759398,266,3.4660279011087,57,8,"null",-1
"Bacilli",59.4135338345865,266,3.27973266179016,60,8,"null",-1
"Betaproteobacteria",62.2406015037594,266,3.00226424223854,62,8,"null",-1
"Clostridia",62.5225563909774,266,2.84596017000605,63,8,"null",-1
"Gammaproteobacteria",60.3270676691729,266,2.98963310223339,60,8,"null",-1
"Actinobacteria",58.6616541353383,266,3.21761007768215,59,9,"null",-1
"Alphaproteobacteria",56.687969924812,266,3.46905538975746,57,9,"null",-1
"Bacilli",58.8533834586466,266,3.34285041339975,59,9,"null",-1
"Betaproteobacteria",62.4398496240602,266,2.91226268381921,62.5,9,"null",-1
"Clostridia",62.3947368421053,266,2.66036785056088,62,9,"null",-1
"Gammaproteobacteria",60.203007518797,266,3.07947409991036,60,9,"null",-1
"Actinobacteria",58.890977443609,266,3.13581763636629,59,10,"null",-1
"Alphaproteobacteria",56.5864661654135,266,3.61052511635524,57,10,"null",-1
"Bacilli",58.8834586466165,266,3.38330374324242,59,10,"null",-1
"Betaproteobacteria",62.4624060150376,266,2.75552553639039,63,10,"null",-1
"Clostridia",62.4248120300752,266,2.90802159331314,63,10,"null",-1
"Gammaproteobacteria",60.218045112782,266,2.98888089327487,60,10,"null",-1
"Actinobacteria",58.2556390977444,266,3.26480173130464,58.5,1,"null",-1
"Alphaproteobacteria",58.0526315789474,266,3.27786352294821,58,1,"null",-1
"Bacilli",59.4210526315789,266,3.14843004019054,60,1,"null",-1
"Betaproteobacteria",63.0263157894737,266,2.91956044085839,63,1,"null",-1
"Clostridia",62.984962406015,266,2.74442133958097,63,1,"null",-1
"Gammaproteobacteria",59.0902255639098,266,3.37238205185087,59,1,"null",-1
"Actinobacteria",58.593984962406,266,3.448899401116,58,2,"null",-1
"Alphaproteobacteria",58.2706766917293,266,3.59586307282042,59,2,"null",-1
"Bacilli",58.9398496240602,266,3.45485034707699,59,2,"null",-1
"Betaproteobacteria",63.1428571428571,266,2.91422757724369,63,2,"null",-1
